season,projection,Tair
DJF,0,2.55394
DJF,1,2.8115103
DJF,2,2.3698325
DJF,3,2.2440922
DJF,4,4.002214
DJF,5,2.731402
DJF,6,2.8147924
DJF,7,3.2289805
DJF,8,3.0337036
DJF,9,4.1359506
DJF,10,3.2070532
DJF,11,3.7562418
DJF,12,3.8779743
DJF,13,5.6153016
DJF,14,2.3706212
DJF,15,3.295761
DJF,16,0.87199426
DJF,17,5.072041
DJF,18,5.222563
DJF,19,4.141607
DJF,20,1.8660707
DJF,21,2.68611
DJF,22,3.9477868
DJF,23,3.7689373
DJF,24,5.373965
DJF,25,5.8328724
DJF,26,2.3534207
DJF,27,2.340007
DJF,28,0.48761702
DJF,29,3.023192
DJF,30,1.4174595
DJF,31,4.306216
JJA,0,5.862617
JJA,1,3.9031024
JJA,2,3.802392
JJA,3,4.0981717
JJA,4,4.8110642
JJA,5,3.905715
JJA,6,3.649538
JJA,7,3.970294
JJA,8,4.819905
JJA,9,3.2402973
JJA,10,5.501438
JJA,11,3.032381
JJA,12,4.3842587
JJA,13,6.5545187
JJA,14,3.6262503
JJA,15,0.8585472
JJA,16,2.9764538
JJA,17,5.7996206
JJA,18,4.5498214
JJA,19,5.6050014
JJA,20,1.9642215
JJA,21,5.054346
JJA,22,5.1781654
JJA,23,3.15584
JJA,24,3.3318064
JJA,25,3.2593207
JJA,26,3.945726
JJA,27,4.09639
JJA,28,1.9646095
JJA,29,3.5033717
JJA,30,4.8962045
JJA,31,5.891837
MAM,0,3.9123995
MAM,1,3.778696
MAM,2,2.639607
MAM,3,3.517103
MAM,4,6.034567
MAM,5,2.6694407
MAM,6,2.5129955
MAM,7,4.1241612
MAM,8,3.3574965
MAM,9,3.3299088
MAM,10,4.0659747
MAM,11,3.2371747
MAM,12,5.079188
MAM,13,6.5527506
MAM,14,3.548893
MAM,15,4.148869
MAM,16,3.1616154
MAM,17,5.163956
MAM,18,3.164597
MAM,19,3.6812782
MAM,20,1.2197056
MAM,21,3.7006054
MAM,22,3.7460527
MAM,23,4.767354
MAM,24,5.2960606
MAM,25,7.096754
MAM,26,2.5253046
MAM,27,3.3897345
MAM,28,1.8416166
MAM,29,3.408244
MAM,30,3.1858394
MAM,31,5.644074
SON,0,4.9785585
SON,1,4.0856934
SON,2,4.1249166
SON,3,3.5986362
SON,4,4.601333
SON,5,3.6700087
SON,6,3.4819236
SON,7,4.199298
SON,8,4.5602016
SON,9,3.1583865
SON,10,4.4030104
SON,11,2.185415
SON,12,5.2586746
SON,13,6.0950885
SON,14,3.1462078
SON,15,2.1726844
SON,16,3.3027098
SON,17,5.503066
SON,18,4.8452272
SON,19,4.8307357
SON,20,1.7163606
SON,21,4.1896567
SON,22,4.3516045
SON,23,3.6126788
SON,24,4.003079
SON,25,4.0904074
SON,26,3.933767
SON,27,4.3581777
SON,28,1.3253254
SON,29,4.018047
SON,30,4.692144
SON,31,5.912136
