season,projection,Tair
DJF,0,1.8970007
DJF,1,2.5080774
DJF,2,2.9075694
DJF,3,2.103117
DJF,4,2.959569
DJF,5,2.3878286
DJF,6,2.8017864
DJF,7,2.9218414
DJF,8,2.5669804
DJF,9,3.4679391
DJF,10,3.3857965
DJF,11,3.077443
DJF,12,3.6182802
DJF,13,4.6822968
DJF,14,2.3316035
DJF,15,2.6928246
DJF,16,1.2302233
DJF,17,5.68243
DJF,18,4.3970356
DJF,19,3.5486689
DJF,20,1.637465
DJF,21,2.3756096
DJF,22,4.107236
DJF,23,3.6729045
DJF,24,4.8210926
DJF,25,4.3727617
DJF,26,2.561447
DJF,27,2.6262877
DJF,28,1.1936688
DJF,29,3.2631402
DJF,30,1.5948045
DJF,31,3.5334115
JJA,0,6.6601934
JJA,1,4.1231775
JJA,2,4.1759906
JJA,3,4.157039
JJA,4,4.712977
JJA,5,3.8024075
JJA,6,3.6039996
JJA,7,4.0620694
JJA,8,4.873396
JJA,9,3.2412448
JJA,10,5.840019
JJA,11,3.490739
JJA,12,4.8822985
JJA,13,6.4803042
JJA,14,3.5656729
JJA,15,1.9543012
JJA,16,3.0744603
JJA,17,6.55807
JJA,18,4.5483327
JJA,19,5.9380364
JJA,20,1.8057026
JJA,21,5.1710725
JJA,22,5.0927124
JJA,23,3.7740543
JJA,24,3.9367447
JJA,25,3.532544
JJA,26,3.5838346
JJA,27,4.0903335
JJA,28,2.3496392
JJA,29,3.4088259
JJA,30,4.8845196
JJA,31,6.6957135
MAM,0,3.7208886
MAM,1,3.6448154
MAM,2,2.6089065
MAM,3,3.1219501
MAM,4,6.1644735
MAM,5,2.2352774
MAM,6,2.2223747
MAM,7,4.2093883
MAM,8,3.4274223
MAM,9,2.4976757
MAM,10,3.7403064
MAM,11,2.8812854
MAM,12,4.9426713
MAM,13,5.889517
MAM,14,3.094817
MAM,15,3.594124
MAM,16,2.9532502
MAM,17,5.1935105
MAM,18,2.7672396
MAM,19,3.2795043
MAM,20,1.1654801
MAM,21,3.6760476
MAM,22,3.793746
MAM,23,4.866872
MAM,24,5.1072707
MAM,25,6.6967206
MAM,26,2.1605852
MAM,27,3.25754
MAM,28,2.1119945
MAM,29,3.5642045
MAM,30,3.3516736
MAM,31,5.487959
SON,0,5.1624165
SON,1,3.7993279
SON,2,4.5932484
SON,3,3.3176358
SON,4,4.3260527
SON,5,3.3953676
SON,6,3.4271653
SON,7,4.0913796
SON,8,4.5578895
SON,9,2.5864232
SON,10,3.96906
SON,11,2.2125542
SON,12,4.996616
SON,13,5.747504
SON,14,3.0200934
SON,15,2.1237245
SON,16,3.226478
SON,17,5.723703
SON,18,4.8170466
SON,19,4.692891
SON,20,1.7662414
SON,21,3.9024189
SON,22,4.335493
SON,23,3.4593332
SON,24,3.6412184
SON,25,3.7181845
SON,26,3.3311315
SON,27,4.1451697
SON,28,2.028971
SON,29,3.9313939
SON,30,4.6558833
SON,31,6.0871444
