division,DJF,MAM,JJA,SON,annual
N Front Range,3.55,2.76,3.27,2.19,3.2
Northeast,4.23,2.84,2.84,2.29,3.33
Pikes Peak,2.24,2.2,2.28,1.3,2.13
Southeast,2.54,2.1,1.73,1.27,2.09
South Park,1.24,1.27,1.57,0.61,1.2
San Luis Valley & SdC,1.73,1.87,1.6,1.28,1.78
Southwest,3.42,2.72,3.01,2.47,3.04
Mesas & Valleys,5.12,3.55,4.32,3.66,4.36
Central Mountains,2.69,2.11,2.37,1.7,2.33
Northwest,4.88,3.66,4.04,3.71,4.27
Northern Mountains,3.3,3.01,2.84,2.29,2.98
statewide,3.26,2.6,2.74,2.13,2.85
