division,DJF,MAM,JJA,SON,annual
N Front Range,0.98,0.59,2.15,2.32,1.56
Northeast,0.2,-0.13,1.43,1.34,0.81
Pikes Peak,0.13,0.66,2.49,2.15,1.36
Southeast,0.24,0.0,1.04,1.39,0.66
South Park,0.31,0.81,2.15,2.46,1.67
San Luis Valley & SdC,1.69,1.93,2.22,2.71,2.28
Southwest,0.86,1.91,2.21,2.02,1.79
Mesas & Valleys,0.61,1.64,2.54,1.95,1.55
Central Mountains,0.72,1.25,1.59,1.91,1.5
Northwest,0.78,0.76,2.35,1.93,1.65
Northern Mountains,0.92,1.21,1.78,2.28,1.65
statewide,0.57,0.75,1.95,2.15,1.52
