division,DJF,MAM,JJA,SON,annual
N Front Range,3.24,2.93,3.09,1.51,2.95
Northeast,4.51,3.28,2.98,2.0,3.33
Pikes Peak,2.82,3.15,2.84,1.64,2.78
Southeast,2.98,3.2,2.33,1.48,2.69
South Park,1.05,1.86,2.16,0.64,1.64
San Luis Valley & SdC,0.95,2.13,1.7,0.93,1.67
Southwest,2.12,2.06,2.09,1.09,1.97
Mesas & Valleys,4.33,3.27,3.68,2.71,3.68
Central Mountains,2.17,2.39,2.5,1.2,2.27
Northwest,2.89,3.31,3.2,2.7,3.2
Northern Mountains,2.44,3.04,2.67,1.83,2.72
statewide,2.8,2.76,2.74,1.6,2.69
