division,DJF,MAM,JJA,SON,annual
N Front Range,4.08,2.91,3.32,2.76,3.39
Northeast,4.07,2.66,2.6,2.68,3.2
Pikes Peak,1.8,1.37,1.6,0.86,1.54
Southeast,2.06,1.36,1.07,1.03,1.55
South Park,1.52,0.61,0.98,0.43,0.85
San Luis Valley & SdC,2.41,1.56,1.73,1.56,1.83
Southwest,4.87,3.66,4.14,4.13,4.27
Mesas & Valleys,6.1,3.97,5.12,4.75,5.04
Central Mountains,3.36,1.84,2.29,2.37,2.47
Northwest,7.08,3.99,5.36,4.88,5.29
Northern Mountains,4.29,2.9,3.15,2.89,3.33
statewide,3.85,2.45,2.84,2.63,3.03
