season,projection,Tair
DJF,0,2.878962
DJF,1,3.1989422
DJF,2,3.7989693
DJF,3,2.5804293
DJF,4,4.347586
DJF,5,2.9526236
DJF,6,3.2240255
DJF,7,3.3683033
DJF,8,3.6491637
DJF,9,3.8897026
DJF,10,3.7157872
DJF,11,3.0790865
DJF,12,4.1125207
DJF,13,5.446764
DJF,14,2.3839164
DJF,15,2.2565367
DJF,16,1.231588
DJF,17,6.4547663
DJF,18,5.238278
DJF,19,4.6904197
DJF,20,1.843202
DJF,21,2.497474
DJF,22,4.190297
DJF,23,5.184544
DJF,24,6.3583117
DJF,25,4.9776273
DJF,26,2.832246
DJF,27,3.2096436
DJF,28,1.4882698
DJF,29,4.171819
DJF,30,2.0293138
DJF,31,4.058454
JJA,0,6.5828567
JJA,1,4.6187983
JJA,2,4.3545184
JJA,3,4.385167
JJA,4,4.7632685
JJA,5,4.082478
JJA,6,3.9639993
JJA,7,4.4318504
JJA,8,5.1732593
JJA,9,3.5035915
JJA,10,6.049343
JJA,11,3.6454096
JJA,12,5.3090672
JJA,13,6.75173
JJA,14,3.467517
JJA,15,2.196953
JJA,16,3.1366892
JJA,17,6.860227
JJA,18,4.614644
JJA,19,5.9703755
JJA,20,2.0821013
JJA,21,5.4981337
JJA,22,5.1342974
JJA,23,4.147751
JJA,24,4.209494
JJA,25,3.2691913
JJA,26,3.6514983
JJA,27,4.024127
JJA,28,2.656446
JJA,29,3.699749
JJA,30,5.012217
JJA,31,7.0157537
MAM,0,3.7328691
MAM,1,4.0001593
MAM,2,2.7617164
MAM,3,3.290568
MAM,4,6.710198
MAM,5,2.6244693
MAM,6,3.1391544
MAM,7,4.9016347
MAM,8,3.767625
MAM,9,2.2258387
MAM,10,3.8407218
MAM,11,3.1454146
MAM,12,5.5651765
MAM,13,6.3496785
MAM,14,3.1349354
MAM,15,3.3372335
MAM,16,3.2349827
MAM,17,5.3725986
MAM,18,3.2397652
MAM,19,3.2472122
MAM,20,1.1630647
MAM,21,3.7292733
MAM,22,4.1528206
MAM,23,6.233009
MAM,24,6.228037
MAM,25,7.9792833
MAM,26,2.2993429
MAM,27,3.1977305
MAM,28,2.6393328
MAM,29,4.3732924
MAM,30,3.5165265
MAM,31,5.9770994
SON,0,4.9283032
SON,1,3.6682749
SON,2,4.218015
SON,3,2.9626844
SON,4,3.5716338
SON,5,3.336846
SON,6,3.1698658
SON,7,4.071396
SON,8,4.5794535
SON,9,2.4091244
SON,10,3.6379516
SON,11,1.8752872
SON,12,4.594092
SON,13,5.1985493
SON,14,2.4357896
SON,15,1.7429084
SON,16,2.7784617
SON,17,5.5801454
SON,18,4.482231
SON,19,4.5951595
SON,20,1.3262137
SON,21,3.4501305
SON,22,3.8250806
SON,23,3.15349
SON,24,3.4622726
SON,25,3.5936453
SON,26,3.0592597
SON,27,3.774083
SON,28,1.7100301
SON,29,3.5823638
SON,30,4.303632
SON,31,5.8409557
