season,projection,Tair
DJF,0,5.50667
DJF,1,3.7755666
DJF,2,4.5695367
DJF,3,3.5197036
DJF,4,6.933003
DJF,5,3.492806
DJF,6,4.1164517
DJF,7,5.005043
DJF,8,5.7460384
DJF,9,4.495578
DJF,10,4.381914
DJF,11,5.031951
DJF,12,5.3432093
DJF,13,6.680868
DJF,14,3.2766876
DJF,15,3.1385517
DJF,16,1.87063
DJF,17,6.8724494
DJF,18,4.977857
DJF,19,5.370335
DJF,20,3.4116755
DJF,21,4.834477
DJF,22,6.285831
DJF,23,7.25838
DJF,24,7.919259
DJF,25,4.8484006
DJF,26,3.73702
DJF,27,3.5453396
DJF,28,1.952631
DJF,29,4.7926826
DJF,30,2.8071373
DJF,31,4.664354
JJA,0,6.9913144
JJA,1,5.0560884
JJA,2,4.5525436
JJA,3,4.496946
JJA,4,5.8524647
JJA,5,4.480817
JJA,6,4.5613656
JJA,7,5.179128
JJA,8,6.5420113
JJA,9,4.3475337
JJA,10,6.9904976
JJA,11,3.605754
JJA,12,6.0196166
JJA,13,9.044738
JJA,14,2.3982193
JJA,15,1.7898977
JJA,16,3.8755867
JJA,17,8.093978
JJA,18,5.799334
JJA,19,6.771741
JJA,20,3.1757817
JJA,21,6.0180492
JJA,22,6.732257
JJA,23,5.114201
JJA,24,4.9426856
JJA,25,4.344933
JJA,26,4.2359643
JJA,27,3.9795947
JJA,28,2.344292
JJA,29,4.890887
JJA,30,6.1722083
JJA,31,7.8112173
MAM,0,5.359205
MAM,1,5.166811
MAM,2,3.7991335
MAM,3,4.6428533
MAM,4,7.863456
MAM,5,3.4412458
MAM,6,3.8795333
MAM,7,6.985232
MAM,8,5.020754
MAM,9,3.4897604
MAM,10,4.882345
MAM,11,4.167929
MAM,12,7.453444
MAM,13,8.483147
MAM,14,5.0526896
MAM,15,4.409758
MAM,16,3.2886822
MAM,17,6.5026875
MAM,18,4.238921
MAM,19,5.2273436
MAM,20,1.9742637
MAM,21,5.2960296
MAM,22,5.6294203
MAM,23,7.8175406
MAM,24,8.362892
MAM,25,9.650575
MAM,26,3.0264091
MAM,27,3.0225966
MAM,28,3.3520904
MAM,29,5.2855196
MAM,30,3.939068
MAM,31,7.2418594
SON,0,6.251983
SON,1,5.169426
SON,2,4.677209
SON,3,3.9092016
SON,4,5.1034026
SON,5,3.9349473
SON,6,3.9959073
SON,7,5.2864637
SON,8,6.160099
SON,9,3.5786808
SON,10,5.459552
SON,11,2.3915052
SON,12,5.0937047
SON,13,7.4793296
SON,14,2.6455579
SON,15,1.6767417
SON,16,3.5717223
SON,17,7.088258
SON,18,6.040481
SON,19,6.4461846
SON,20,2.3712697
SON,21,4.598495
SON,22,5.0766716
SON,23,5.0142465
SON,24,5.317518
SON,25,5.132689
SON,26,3.6743658
SON,27,4.9975643
SON,28,2.3725176
SON,29,3.8401296
SON,30,5.367998
SON,31,7.0589905
