season,projection,precip
DJF,0,14.891251
DJF,1,10.712232
DJF,2,-1.0161035
DJF,3,15.690595
DJF,4,36.456745
DJF,5,32.851612
DJF,6,19.139622
DJF,7,17.77939
DJF,8,-3.1426494
DJF,9,1.2355783
DJF,10,-11.796745
DJF,11,14.4361105
DJF,12,0.411153
DJF,13,11.313961
DJF,14,11.543279
DJF,15,16.452984
DJF,16,1.0403359
DJF,17,38.190674
DJF,18,28.735022
DJF,19,10.209469
DJF,20,5.32583
DJF,21,19.052992
DJF,22,-18.483479
DJF,23,18.034794
DJF,24,24.253822
DJF,25,-1.351448
DJF,26,35.129322
DJF,27,23.660952
DJF,28,13.780086
DJF,29,17.371658
DJF,30,4.7516265
DJF,31,5.6913853
JJA,0,-29.203278
JJA,1,-3.3827991
JJA,2,-0.2222182
JJA,3,-9.065538
JJA,4,7.642587
JJA,5,0.10040576
JJA,6,-0.6229309
JJA,7,3.724097
JJA,8,-7.9577713
JJA,9,3.7738378
JJA,10,-18.087074
JJA,11,-2.809261
JJA,12,-0.22879799
JJA,13,8.931594
JJA,14,10.288442
JJA,15,13.87159
JJA,16,4.3988805
JJA,17,-28.801086
JJA,18,-3.7157636
JJA,19,-10.159594
JJA,20,-4.8166366
JJA,21,-0.5722837
JJA,22,-27.50816
JJA,23,-5.222652
JJA,24,11.484489
JJA,25,1.2352121
JJA,26,3.1794913
JJA,27,-7.164469
JJA,28,4.2205443
JJA,29,13.674249
JJA,30,-2.8236475
JJA,31,-9.022405
MAM,0,8.225511
MAM,1,6.0872817
MAM,2,5.677361
MAM,3,4.2391243
MAM,4,-1.9376563
MAM,5,16.44421
MAM,6,5.2955737
MAM,7,-2.0811715
MAM,8,5.0960245
MAM,9,19.367214
MAM,10,14.419317
MAM,11,19.668861
MAM,12,3.2237833
MAM,13,6.367466
MAM,14,8.641515
MAM,15,-0.65644735
MAM,16,15.100138
MAM,17,1.2137299
MAM,18,23.466715
MAM,19,6.5796003
MAM,20,-2.162528
MAM,21,8.239928
MAM,22,-5.995706
MAM,23,15.461286
MAM,24,21.878206
MAM,25,10.9922085
MAM,26,-0.12823868
MAM,27,11.2890835
MAM,28,10.472926
MAM,29,19.483467
MAM,30,-1.3266618
MAM,31,12.344652
SON,0,-4.0920076
SON,1,13.389407
SON,2,-8.735535
SON,3,-9.729532
SON,4,-8.584202
SON,5,-1.5112568
SON,6,3.7457395
SON,7,9.827258
SON,8,-35.274708
SON,9,24.922184
SON,10,7.2842436
SON,11,9.885773
SON,12,4.3889723
SON,13,-6.0229883
SON,14,13.695685
SON,15,2.5176342
SON,16,7.4717445
SON,17,-9.75001
SON,18,-3.986983
SON,19,16.585192
SON,20,-10.187624
SON,21,-7.993739
SON,22,2.8101177
SON,23,10.537245
SON,24,-3.287597
SON,25,6.1748734
SON,26,-10.353247
SON,27,-5.845215
SON,28,-1.5465645
SON,29,-2.5248013
SON,30,-1.0318019
SON,31,-15.531343
