season,projection,Tair
DJF,0,5.3382807
DJF,1,2.9724593
DJF,2,3.6504447
DJF,3,2.5293665
DJF,4,4.957306
DJF,5,3.1696117
DJF,6,3.41286
DJF,7,4.250857
DJF,8,4.345309
DJF,9,5.164587
DJF,10,5.513916
DJF,11,4.365269
DJF,12,5.180262
DJF,13,5.299326
DJF,14,3.1879323
DJF,15,2.5984437
DJF,16,2.2841759
DJF,17,7.511737
DJF,18,5.146558
DJF,19,6.0730677
DJF,20,1.9677258
DJF,21,5.5359488
DJF,22,6.3302803
DJF,23,6.9531174
DJF,24,6.5234084
DJF,25,4.8370657
DJF,26,2.8778198
DJF,27,3.0258496
DJF,28,1.2552897
DJF,29,4.6266537
DJF,30,3.3203282
DJF,31,4.4941874
JJA,0,7.9692936
JJA,1,5.0567837
JJA,2,4.706673
JJA,3,4.7438965
JJA,4,5.3081613
JJA,5,4.5811305
JJA,6,4.477938
JJA,7,4.777954
JJA,8,5.982354
JJA,9,4.2516885
JJA,10,7.3327937
JJA,11,3.5941532
JJA,12,5.829023
JJA,13,7.8533225
JJA,14,3.2823474
JJA,15,2.454253
JJA,16,3.6721218
JJA,17,8.258749
JJA,18,5.600363
JJA,19,6.5988245
JJA,20,2.950519
JJA,21,5.95151
JJA,22,7.446718
JJA,23,6.3574996
JJA,24,5.916886
JJA,25,4.965058
JJA,26,4.6565275
JJA,27,4.641713
JJA,28,2.5933363
JJA,29,4.295977
JJA,30,5.7560325
JJA,31,8.31331
MAM,0,5.54748
MAM,1,4.62786
MAM,2,3.6925092
MAM,3,4.131723
MAM,4,7.194614
MAM,5,2.8217103
MAM,6,3.037154
MAM,7,5.4490175
MAM,8,5.2699585
MAM,9,3.650375
MAM,10,4.8075905
MAM,11,3.483325
MAM,12,6.2285123
MAM,13,5.8652744
MAM,14,3.756895
MAM,15,3.225833
MAM,16,2.5587056
MAM,17,6.8197546
MAM,18,3.682526
MAM,19,5.4981146
MAM,20,1.9716983
MAM,21,5.388883
MAM,22,4.9285464
MAM,23,6.0888443
MAM,24,6.7404046
MAM,25,7.6588573
MAM,26,2.822561
MAM,27,2.8015668
MAM,28,3.1285963
MAM,29,5.051668
MAM,30,4.2264075
MAM,31,6.380937
SON,0,7.1278744
SON,1,5.477999
SON,2,5.9115334
SON,3,4.6071305
SON,4,7.1989527
SON,5,4.5247602
SON,6,4.545677
SON,7,5.376134
SON,8,6.6594143
SON,9,3.6470728
SON,10,6.597973
SON,11,3.1389122
SON,12,6.1132717
SON,13,7.714381
SON,14,3.6197839
SON,15,2.644967
SON,16,3.7743049
SON,17,7.961646
SON,18,6.7946267
SON,19,7.296101
SON,20,2.989232
SON,21,5.924116
SON,22,6.663431
SON,23,6.7084713
SON,24,7.09937
SON,25,5.7260637
SON,26,4.5517354
SON,27,5.8425446
SON,28,2.9945707
SON,29,5.538441
SON,30,6.209433
SON,31,7.748161
