season,projection,precip
DJF,0,7.125274
DJF,1,4.762543
DJF,2,-7.2815976
DJF,3,3.0902898
DJF,4,11.058816
DJF,5,19.008259
DJF,6,15.841417
DJF,7,13.614656
DJF,8,-3.085786
DJF,9,4.63704
DJF,10,-3.096892
DJF,11,19.044552
DJF,12,19.588297
DJF,13,15.952836
DJF,14,5.336812
DJF,15,10.892986
DJF,16,5.9640036
DJF,17,6.493611
DJF,18,10.760715
DJF,19,7.9521337
DJF,20,8.035422
DJF,21,5.070032
DJF,22,-1.6870664
DJF,23,17.244482
DJF,24,24.812082
DJF,25,11.3101635
DJF,26,19.24855
DJF,27,11.144137
DJF,28,4.8611636
DJF,29,9.631369
DJF,30,3.1532369
DJF,31,5.37775
JJA,0,-20.777393
JJA,1,-2.4110777
JJA,2,-10.6958685
JJA,3,-10.411551
JJA,4,16.668898
JJA,5,-1.1570784
JJA,6,1.8502934
JJA,7,17.381971
JJA,8,-6.1768284
JJA,9,4.908682
JJA,10,-10.814123
JJA,11,-2.8016841
JJA,12,1.6724175
JJA,13,6.133902
JJA,14,-4.984822
JJA,15,16.329035
JJA,16,1.9181246
JJA,17,-18.152143
JJA,18,-6.4209847
JJA,19,-12.318681
JJA,20,-1.4729558
JJA,21,-5.972139
JJA,22,-18.143831
JJA,23,-1.5059159
JJA,24,14.033135
JJA,25,25.613386
JJA,26,1.3389217
JJA,27,-12.22607
JJA,28,-1.3265854
JJA,29,13.566536
JJA,30,-20.408287
JJA,31,-0.5481673
MAM,0,-3.479998
MAM,1,-1.83926
MAM,2,14.872189
MAM,3,-2.1964998
MAM,4,-7.505051
MAM,5,13.606977
MAM,6,23.150122
MAM,7,-5.672442
MAM,8,-6.90509
MAM,9,7.2097645
MAM,10,6.2288594
MAM,11,4.158137
MAM,12,-2.2777617
MAM,13,12.77623
MAM,14,7.459838
MAM,15,-9.392948
MAM,16,6.5217056
MAM,17,-7.462819
MAM,18,3.13916
MAM,19,-5.2323503
MAM,20,-3.3603714
MAM,21,5.1725707
MAM,22,-5.53606
MAM,23,12.687402
MAM,24,26.842796
MAM,25,13.658651
MAM,26,1.6295729
MAM,27,8.463268
MAM,28,-4.451635
MAM,29,9.604694
MAM,30,-16.467718
MAM,31,16.348572
SON,0,-14.759198
SON,1,9.759637
SON,2,-22.877993
SON,3,-8.440424
SON,4,-1.5509591
SON,5,8.500713
SON,6,10.98489
SON,7,5.1743298
SON,8,-9.151237
SON,9,9.467689
SON,10,9.809835
SON,11,4.363784
SON,12,4.8566766
SON,13,-7.22072
SON,14,-2.1311069
SON,15,2.0653858
SON,16,-3.5656478
SON,17,-6.9284506
SON,18,-4.1237416
SON,19,1.061028
SON,20,-7.645239
SON,21,1.8507665
SON,22,7.851749
SON,23,-3.4533792
SON,24,6.144395
SON,25,7.4856067
SON,26,20.16266
SON,27,-6.342741
SON,28,-8.806569
SON,29,6.5605373
SON,30,0.006740968
SON,31,26.576393
