month,projection,pet_natveg
10,18,37.562195
10,19,38.05142
10,20,29.86521
10,21,34.001377
10,22,33.93906
10,23,31.447517
10,24,33.10151
10,25,34.182068
10,26,33.14733
10,27,30.461876
10,28,30.754522
10,29,33.614403
10,30,34.57752
10,31,39.654488
11,0,10.725036
11,1,10.626069
11,2,9.889513
11,3,9.201345
11,4,10.981207
11,5,9.373047
11,6,10.07378
11,7,11.054
11,8,9.865984
11,9,10.103812
11,10,9.79712
11,11,8.577496
11,12,11.0314665
11,13,11.608212
11,14,9.25865
11,15,9.1690035
11,16,8.641018
11,17,10.39673
11,18,10.170924
11,19,10.260196
11,20,8.43469
11,21,9.147826
11,22,9.771132
11,23,10.351312
11,24,10.253608
11,25,10.642027
11,26,9.612334
11,27,10.027251
11,28,8.387681
11,29,10.731674
11,30,8.974676
11,31,11.050386
12,0,3.0809984
12,1,3.2386584
12,2,3.1733766
12,3,2.511285
12,4,4.1676087
12,5,3.4732015
12,6,3.0180876
12,7,3.1522248
12,8,3.6747582
12,9,3.568577
12,10,3.2819567
12,11,3.134621
12,12,3.2184935
12,13,3.734228
12,14,3.0700738
12,15,2.7170782
12,16,2.9482427
12,17,4.068786
12,18,4.265805
12,19,3.268761
12,20,2.49788
12,21,3.6159265
12,22,4.1642904
12,23,3.44496
12,24,3.467345
12,25,3.3465114
12,26,3.1312158
12,27,3.2578447
12,28,2.8799958
12,29,3.0211308
12,30,2.9160433
12,31,3.3344922
