month,projection,pet_natveg
10,18,48.349644
10,19,48.549034
10,20,40.707623
10,21,45.32146
10,22,45.169544
10,23,41.418213
10,24,43.386
10,25,43.65858
10,26,44.100803
10,27,41.473675
10,28,41.05962
10,29,44.482796
10,30,46.26452
10,31,49.621147
11,0,14.137647
11,1,14.329287
11,2,14.49666
11,3,13.526575
11,4,15.571283
11,5,12.9703
11,6,13.909546
11,7,14.926605
11,8,13.615081
11,9,13.645008
11,10,13.923486
11,11,11.948107
11,12,15.866621
11,13,16.793287
11,14,12.909514
11,15,12.67923
11,16,11.826527
11,17,14.553394
11,18,14.21593
11,19,14.635702
11,20,11.503763
11,21,14.010771
11,22,13.758768
11,23,13.653715
11,24,12.909487
11,25,14.473124
11,26,13.217489
11,27,13.867922
11,28,11.840921
11,29,14.454252
11,30,12.549825
11,31,15.295819
12,0,4.215217
12,1,4.834024
12,2,5.0203433
12,3,4.210085
12,4,6.1700597
12,5,5.5715613
12,6,5.058159
12,7,5.003121
12,8,5.066756
12,9,5.096219
12,10,4.94444
12,11,4.8067765
12,12,5.6530337
12,13,6.186311
12,14,5.286388
12,15,4.714997
12,16,4.231886
12,17,5.92684
12,18,5.897128
12,19,4.38669
12,20,4.2594876
12,21,5.949013
12,22,6.5090814
12,23,5.3058596
12,24,5.7608933
12,25,5.210556
12,26,4.5001073
12,27,4.812307
12,28,4.3495655
12,29,4.6860433
12,30,4.2699447
12,31,5.2837653
