season,projection,precip
DJF,0,29.770397
DJF,1,16.620638
DJF,2,6.0705605
DJF,3,5.3172493
DJF,4,8.182731
DJF,5,1.5342313
DJF,6,20.273258
DJF,7,25.729387
DJF,8,22.560698
DJF,9,24.170752
DJF,10,13.48443
DJF,11,14.088551
DJF,12,9.567867
DJF,13,30.592855
DJF,14,18.294725
DJF,15,17.555744
DJF,16,14.245635
DJF,17,29.486507
DJF,18,30.527534
DJF,19,23.739065
DJF,20,5.6812763
DJF,21,1.6726321
DJF,22,-7.69854
DJF,23,24.930014
DJF,24,43.123356
DJF,25,18.558647
DJF,26,17.621725
DJF,27,5.2540226
DJF,28,11.482916
DJF,29,14.841879
DJF,30,7.0875406
DJF,31,13.400334
JJA,0,-38.13274
JJA,1,5.7686095
JJA,2,-7.5451665
JJA,3,-15.177873
JJA,4,12.981502
JJA,5,-10.120793
JJA,6,-10.85818
JJA,7,5.1338754
JJA,8,6.718225
JJA,9,3.4176216
JJA,10,-26.31163
JJA,11,6.714128
JJA,12,-0.38782507
JJA,13,8.080091
JJA,14,2.746642
JJA,15,5.891697
JJA,16,-6.8980217
JJA,17,-25.964373
JJA,18,23.554363
JJA,19,-17.538605
JJA,20,2.5775373
JJA,21,-6.5329657
JJA,22,-31.058598
JJA,23,-5.584671
JJA,24,-3.479757
JJA,25,-0.34641322
JJA,26,2.7107265
JJA,27,-1.276395
JJA,28,5.414742
JJA,29,6.4775186
JJA,30,-2.0276866
JJA,31,-6.0540495
MAM,0,3.7113883
MAM,1,5.8289194
MAM,2,14.478154
MAM,3,-0.9334563
MAM,4,-4.9727297
MAM,5,7.576508
MAM,6,8.967285
MAM,7,7.961639
MAM,8,6.0084505
MAM,9,15.289961
MAM,10,18.938246
MAM,11,22.04317
MAM,12,8.952156
MAM,13,28.258804
MAM,14,4.894271
MAM,15,-7.0082145
MAM,16,17.429615
MAM,17,14.259562
MAM,18,32.80748
MAM,19,8.441762
MAM,20,2.4187617
MAM,21,-0.52653295
MAM,22,-10.082117
MAM,23,20.78842
MAM,24,24.40638
MAM,25,-2.8716755
MAM,26,15.139638
MAM,27,13.586513
MAM,28,0.7923376
MAM,29,20.597353
MAM,30,-8.511023
MAM,31,21.8554
SON,0,-3.4225345
SON,1,22.901241
SON,2,-20.494684
SON,3,-6.8731046
SON,4,-5.777733
SON,5,16.913614
SON,6,12.048676
SON,7,5.848667
SON,8,-12.117066
SON,9,17.985004
SON,10,-2.2371626
SON,11,19.843235
SON,12,9.5352335
SON,13,1.8067029
SON,14,-10.762627
SON,15,-4.218212
SON,16,-6.4264255
SON,17,-11.377604
SON,18,4.900638
SON,19,26.967829
SON,20,-12.811144
SON,21,2.8655572
SON,22,8.409246
SON,23,-11.502726
SON,24,1.0866141
SON,25,-6.2026014
SON,26,6.81611
SON,27,-9.272359
SON,28,-4.4584
SON,29,3.3141634
SON,30,-9.584219
SON,31,2.551381
