month,projection,0
9,13,-9.233521
9,14,-6.7362757
9,15,-2.3069804
9,16,-6.1027784
9,17,-12.921837
9,18,-4.548777
9,19,-10.488777
9,20,-8.671779
9,21,-8.227581
9,22,-8.250101
9,23,-5.970767
9,24,-0.08351144
9,25,5.5988646
9,26,-0.95008683
9,27,-7.375283
9,28,-4.265687
9,29,-1.7502973
9,30,-11.224359
9,31,-4.8140264
10,0,-14.195485
10,1,-9.609782
10,2,-12.005603
10,3,-11.997392
10,4,-8.815144
10,5,-3.9613776
10,6,-4.1937385
10,7,-5.3793135
10,8,-6.582627
10,9,1.93814
10,10,-7.787416
10,11,-6.220751
10,12,-6.2651815
10,13,-10.29059
10,14,-8.071596
10,15,-4.774605
10,16,-2.617914
10,17,-14.038265
10,18,-4.052591
10,19,-8.467927
10,20,-9.181658
10,21,-6.49666
10,22,-5.9320245
10,23,-4.232183
10,24,-1.2344848
10,25,3.7424564
10,26,-3.0870285
10,27,-6.891635
10,28,-6.1620617
10,29,-1.7384045
10,30,-9.133237
10,31,-2.3701413
11,0,-13.868419
11,1,-7.2643337
11,2,-11.817817
11,3,-11.709324
11,4,-8.371003
11,5,-2.4052253
11,6,-3.8480952
11,7,-4.5159483
11,8,-5.1774173
11,9,2.9783483
11,10,-9.068351
11,11,-5.1228623
11,12,-4.618528
11,13,-8.846943
11,14,-8.972377
11,15,-2.5617003
11,16,-2.9619348
11,17,-12.786887
11,18,-4.1430106
11,19,-7.9776354
11,20,-9.552525
11,21,-6.7199454
11,22,-4.419284
11,23,-3.8359127
11,24,-1.8568132
11,25,3.5154133
11,26,-0.34862518
11,27,-7.5971036
11,28,-5.685956
11,29,1.4726869
11,30,-9.002118
11,31,-0.5908844
12,0,-12.718914
12,1,-6.064665
12,2,-10.370302
12,3,-10.714778
12,4,-5.9108834
12,5,-1.4721081
12,6,-2.4054542
12,7,-3.4363582
12,8,-4.3531322
12,9,3.0142646
12,10,-8.683025
12,11,-4.1248837
12,12,-4.227101
12,13,-7.3218822
12,14,-8.220613
12,15,-2.0130093
12,16,-3.4313436
12,17,-11.613888
12,18,-2.9773834
12,19,-6.6909223
12,20,-8.259528
12,21,-5.6176176
12,22,-2.372308
12,23,-3.1142695
12,24,-1.1155064
12,25,3.102458
12,26,0.7142661
12,27,-6.6386743
12,28,-4.8396053
12,29,1.5459588
12,30,-8.01957
12,31,0.8923966
