1971-2000,239.8281573,258.653703,242.6695567,215.1604532,233.6453327,214.74542,244.7483237,236.9729015,222.5900441,222.9259263,256.1389961,219.8815937,218.5686335,211.850904,219.7443963,214.3466018,235.0134318,239.9112697,251.939307,247.2834877,220.0969006,211.583437,228.592939,237.8714283,222.5725437,225.5776483,226.4427443,239.2258337,212.4050517,227.510842,241.9916905,232.459271,,
2035-2064,220.6313467,219.4934995,186.3835518,174.9643245,194.4171698,199.8902732,196.6989667,190.610897,164.1298545,225.9695578,183.4498041,223.585402,202.9614055,179.4654975,203.316537,191.9609743,195.5053663,198.2130547,238.3945767,224.7142963,235.8117412,176.8781533,177.5192928,199.9671563,220.3496819,180.0768339,244.4584632,217.8366658,197.4367695,193.684383,179.9807928,229.0976115,,
Delta,-8.004402352,-15.14001269,-23.19450598,-18.68193162,-16.78961971,-6.917561657,-19.63214957,-19.56426418,-26.26361382,1.365310689,-28.37880727,1.684455834,-7.140653145,-15.28688613,-7.475894558,-10.44365867,-16.81098193,-17.38068204,-5.376187819,-9.126849328,7.139964498,-16.40264671,-22.34261758,-15.93477294,-0.998713392,-20.17079919,7.955970895,-8.940994167,-7.047046221,-14.86806462,-25.62521778,-1.446128384,,-15.00403866
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr,34203.49593,35467.84337,30768.67115,29606.21346,31107.36772,31017.22517,31293.96672,31366.85246,29821.82763,32976.96442,30768.0474,33426.88746,30685.42314,30585.83442,32380.07126,31260.0809,31723.11105,31557.04263,35696.11816,34824.56713,35460.2002,28898.44857,29508.78068,33675.92744,32923.39659,29463.57873,34644.43902,33639.68495,31515.94909,32027.56509,31210.31055,33178.34015,,1026684.233
1950,170.01067,103.96625,205.48616,117.01955,147.08093,71.747696,129.9314,49.21206,96.94776,99.26957,218.75476,125.11703,82.065414,62.393356,132.9656,144.55893,75.35207,80.644516,155.52834,123.86091,231.98795,132.13718,186.74977,135.02202,100.20306,221.00964,36.261395,94.764534,151.86139,120.8419,223.33356,70.22301,,4096.308381
1951,184.25883,133.55711,161.31047,125.82104,125.97448,242.03406,161.6051,274.83923,518.2287,317.08362,147.49008,166.15956,225.99162,196.2733,217.4092,138.48286,159.88043,195.53926,141.39854,259.80112,137.38626,321.16785,91.7336,203.12315,80.55396,90.4739,177.82204,233.5088,149.03728,216.96255,294.73,353.71042,,6443.34842
1952,265.8618,255.99252,101.88036,272.65894,361.62888,321.34064,127.03141,224.64246,286.82272,283.62158,317.62805,262.1974,118.13751,188.36682,233.20282,317.0997,309.72702,130.70435,228.21164,294.50415,299.78085,178.81665,290.9154,236.26662,197.90921,298.9063,210.0767,155.5289,165.98938,141.72626,278.5754,242.333,,7598.08544
1953,180.1691,367.20087,125.29899,142.52032,268.98196,193.35875,266.80383,146.02144,316.91028,252.88354,176.03673,329.51212,157.7608,284.14532,289.6826,353.5853,287.19922,360.89774,118.31778,322.56625,277.1689,253.01628,209.61537,213.45117,180.59743,198.07396,345.25998,146.48274,256.81793,145.4465,215.5298,198.60805,,7579.92105
1954,273.32776,302.50757,326.02945,264.21146,219.61513,169.51215,119.01809,90.14786,208.55296,328.0788,202.51361,206.29564,323.54858,253.47324,353.84732,242.92328,191.47925,331.83212,242.90297,376.58588,252.62338,280.4068,242.3063,295.17136,304.7565,165.96255,239.7771,170.00731,196.8961,284.00473,274.05774,217.67784,,7950.05083
1955,334.0546,154.90382,256.85736,257.63968,278.97205,177.39328,120.95841,206.67284,339.0921,260.93216,290.37125,103.47873,344.6909,364.77078,81.948456,344.00272,161.4066,269.82196,224.58304,230.75726,191.34338,425.54285,277.30948,172.31422,216.07243,216.04155,242.63004,215.5015,144.02058,191.45425,153.06934,258.91193,,7507.519546
1956,325.656,172.45975,286.7454,293.38202,179.82114,137.8358,223.0586,227.86037,141.9009,209.30257,143.83875,241.35974,91.12859,400.27112,297.92935,250.91794,105.30983,145.00197,329.3434,243.15768,184.5725,274.33524,238.05374,285.64517,131.88126,309.1221,340.64984,266.08832,132.57149,169.68008,215.33241,195.80429,,7190.01736
1957,251.04694,180.75516,194.183,259.6387,146.69739,186.3988,161.20607,195.48299,143.65274,231.41296,246.63899,285.34802,327.08835,230.9219,171.64777,163.99919,99.67197,223.26013,332.82095,369.4475,135.67679,296.7957,285.3533,139.29567,244.71376,312.96423,109.90795,197.89328,164.92456,281.96588,162.67442,225.78952,,6959.27458
1958,213.64407,278.72232,200.7322,144.3896,255.38235,194.73613,268.45148,165.56406,122.9618,282.97934,341.12805,161.88129,183.29506,181.32895,293.10422,337.42856,259.50687,138.21016,281.54077,146.19162,163.57063,216.18939,319.2324,308.60522,236.61758,261.81998,292.42148,341.59384,271.83563,365.5285,233.92833,197.04436,,7659.56624
1959,164.25784,279.9188,152.32585,169.5661,110.76889,261.3201,203.02368,155.10652,272.49387,197.96696,250.36484,216.7116,288.2393,181.83669,247.32289,220.83778,182.87927,248.923,230.39363,335.01755,216.8968,185.05585,295.27148,318.1257,130.12636,95.188126,221.60603,290.03598,114.725105,135.34776,105.089226,277.13123,,6753.874807
