month,projection,0
9,0,4.1561437
9,1,4.576236
9,2,4.3104525
9,3,4.3483605
9,4,5.145477
9,5,5.0435247
9,6,4.997482
9,7,5.3743896
9,8,4.441399
9,9,5.5497003
9,10,5.1876993
9,11,5.015367
9,12,4.948553
9,13,4.915559
9,14,5.208891
9,15,5.2705617
9,16,4.926234
9,17,3.838017
9,18,4.7882285
9,19,4.361047
9,20,5.0630918
9,21,4.645235
9,22,4.503468
9,23,4.8028817
9,24,5.300141
9,25,5.1857505
9,26,5.866447
9,27,5.642157
9,28,5.164817
9,29,5.3006086
9,30,4.190303
9,31,5.0264683
10,0,3.942707
10,1,4.472553
10,2,4.113813
10,3,4.1723795
10,4,4.7879224
10,5,4.566626
10,6,4.592017
10,7,4.8667374
10,8,4.5112104
10,9,5.36342
10,10,4.6043167
10,11,4.7704105
10,12,4.8011475
10,13,4.515921
10,14,4.7166033
10,15,5.04919
10,16,4.8042803
10,17,3.6715236
10,18,4.401605
10,19,4.206491
10,20,4.6137805
10,21,4.600276
10,22,4.6560774
10,23,4.665955
10,24,4.8433275
10,25,4.7713995
10,26,5.2107973
10,27,5.170908
10,28,4.5333285
10,29,5.087973
10,30,3.9603283
10,31,5.1353683
11,0,3.5430493
11,1,4.0207376
11,2,3.8021455
11,3,3.6985621
11,4,4.553621
11,5,4.263372
11,6,4.233792
11,7,4.4861827
11,8,4.171342
11,9,4.7234216
11,10,4.0966234
11,11,4.2035327
11,12,4.4113107
11,13,4.370361
11,14,4.268976
11,15,4.883788
11,16,4.3815646
11,17,3.3843453
11,18,3.9379175
11,19,3.7794085
11,20,4.1634493
11,21,4.12358
11,22,4.297628
11,23,4.1104827
11,24,4.24869
11,25,4.3637695
11,26,4.843312
11,27,4.900962
11,28,4.205423
11,29,4.627172
11,30,3.6874878
11,31,5.0516067
12,0,3.2489119
12,1,3.6633604
12,2,3.5755467
12,3,3.408249
12,4,4.1164474
12,5,3.826493
12,6,3.7980537
12,7,4.076785
12,8,3.713261
12,9,4.3806915
12,10,3.789834
12,11,3.8223844
12,12,3.9876564
12,13,3.8389108
12,14,3.9004948
12,15,4.3189588
12,16,3.9983907
12,17,3.0620644
12,18,3.6217482
12,19,3.4331584
12,20,3.7139442
12,21,3.7266285
12,22,3.8815432
12,23,3.7654388
12,24,3.9610906
12,25,4.027562
12,26,4.2557898
12,27,4.407298
12,28,3.857836
12,29,4.142662
12,30,3.3404248
12,31,4.3597217
