season,projection,Tair
DJF,0,3.5190728
DJF,1,3.3777757
DJF,2,3.455491
DJF,3,2.6398962
DJF,4,5.14649
DJF,5,3.103368
DJF,6,3.5569224
DJF,7,4.7514486
DJF,8,3.7003489
DJF,9,3.879693
DJF,10,3.8991525
DJF,11,3.8079488
DJF,12,4.4163346
DJF,13,5.6006184
DJF,14,2.826407
DJF,15,2.8443491
DJF,16,1.3860737
DJF,17,6.771028
DJF,18,6.4295173
DJF,19,4.436371
DJF,20,1.9909818
DJF,21,3.2823095
DJF,22,4.42258
DJF,23,5.473895
DJF,24,6.6116624
DJF,25,6.5685782
DJF,26,3.5704784
DJF,27,3.2171702
DJF,28,1.2672695
DJF,29,4.009354
DJF,30,2.3148715
DJF,31,4.16774
JJA,0,5.168264
JJA,1,3.8601544
JJA,2,3.8387809
JJA,3,4.063187
JJA,4,4.599713
JJA,5,3.6426802
JJA,6,3.3863742
JJA,7,4.2891517
JJA,8,4.995166
JJA,9,3.3819814
JJA,10,5.5400944
JJA,11,3.2514467
JJA,12,4.715476
JJA,13,7.403408
JJA,14,3.8895326
JJA,15,1.8212962
JJA,16,3.146086
JJA,17,5.5854163
JJA,18,4.3177743
JJA,19,5.385762
JJA,20,2.6670375
JJA,21,5.4980116
JJA,22,4.866363
JJA,23,3.6162665
JJA,24,3.7737727
JJA,25,2.817509
JJA,26,4.273259
JJA,27,4.220793
JJA,28,2.7012186
JJA,29,3.63277
JJA,30,4.808405
JJA,31,5.898786
MAM,0,3.758666
MAM,1,3.8872457
MAM,2,2.4017684
MAM,3,3.5266135
MAM,4,6.2859783
MAM,5,2.770315
MAM,6,3.0429642
MAM,7,5.652612
MAM,8,2.9706218
MAM,9,2.9286249
MAM,10,4.0991707
MAM,11,3.0339057
MAM,12,6.1084204
MAM,13,6.555491
MAM,14,4.348529
MAM,15,4.505196
MAM,16,2.9708557
MAM,17,5.3386874
MAM,18,3.2615995
MAM,19,3.749114
MAM,20,1.1789789
MAM,21,3.6533437
MAM,22,3.92076
MAM,23,5.700517
MAM,24,6.951493
MAM,25,8.278439
MAM,26,2.2831662
MAM,27,2.7747765
MAM,28,2.7190273
MAM,29,3.8866181
MAM,30,2.818093
MAM,31,5.671608
SON,0,5.329424
SON,1,4.0027714
SON,2,4.506796
SON,3,3.653688
SON,4,4.2224355
SON,5,3.6889668
SON,6,3.8298965
SON,7,4.3699956
SON,8,4.9861946
SON,9,2.8992567
SON,10,4.870956
SON,11,2.1319003
SON,12,5.5561028
SON,13,6.5366926
SON,14,2.9844532
SON,15,2.204338
SON,16,3.3227506
SON,17,5.9210935
SON,18,5.1053047
SON,19,4.90352
SON,20,1.6652758
SON,21,4.466646
SON,22,4.9030643
SON,23,4.4243298
SON,24,3.975978
SON,25,4.27265
SON,26,3.9486346
SON,27,4.2449427
SON,28,1.938075
SON,29,4.2383037
SON,30,4.822684
SON,31,5.7830434
